TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,ADC_48_0,ADC_48_1,ADC_48_2,ADC_48_3,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,V,V,V,V,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,ADS1x15 ADC 0x48 Ch0,ADS1x15 ADC 0x48 Ch1,ADS1x15 ADC 0x48 Ch2,ADS1x15 ADC 0x48 Ch3,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,0,0,0,0,89,87,88
2020-09-02T15:35:19Z,26.92,61.17,-1,5,43.34,101.53,null,null,0.204281,0.212750,0.218586,0.209000,null,null,null
2020-09-02T15:35:49Z,26.90,61.18,100,8,46.94,101.55,null,null,0.202578,0.212055,0.219797,0.208891,null,null,null
2020-09-02T15:36:19Z,26.92,61.17,100,7,47.10,101.54,null,null,0.204656,0.212156,0.221180,0.210086,null,null,null
2020-09-02T15:36:49Z,27.00,61.17,100,7,40.23,101.54,null,null,0.202375,0.211820,0.217867,0.208695,null,null,null
2020-09-02T15:37:19Z,27.02,61.19,99,6,50.44,101.53,null,null,0.204305,0.214047,0.220977,0.209359,null,null,null
2020-09-02T15:37:49Z,27.06,60.90,99,8,55.43,101.53,null,null,0.204508,0.213484,0.220422,0.209727,null,null,null
2020-09-02T15:38:19Z,27.13,60.77,99,7,61.21,101.53,null,null,0.204820,0.213289,0.219609,0.209453,null,null,null
2020-09-02T15:38:49Z,27.10,60.56,99,8,43.58,101.53,null,null,0.204367,0.212547,0.221062,0.208687,null,null,null
2020-09-02T15:39:19Z,27.07,60.51,99,6,42.34,101.53,null,null,0.205031,0.213109,0.220453,0.209469,null,null,null
2020-09-02T15:39:49Z,27.05,60.52,99,6,37.82,101.54,null,null,0.205609,0.213156,0.219805,0.209508,null,null,null
2020-09-02T15:40:19Z,27.06,60.58,99,7,32.72,101.54,0.00,400.00,0.205016,0.212984,0.220570,0.209367,null,null,null
2020-09-02T15:40:49Z,27.06,60.53,99,7,34.22,101.54,0.00,400.00,0.204414,0.213031,0.222000,0.209312,null,null,null
2020-09-02T15:41:19Z,27.03,60.60,99,7,32.29,101.54,0.00,400.00,0.205383,0.213047,0.220727,0.209586,null,null,null
2020-09-02T15:41:49Z,27.03,60.59,99,7,34.32,101.54,0.00,400.00,0.203547,0.212711,0.220375,0.209641,null,null,null
2020-09-02T15:42:19Z,26.99,60.62,99,7,40.97,101.54,0.00,400.00,0.205852,0.212242,0.221188,0.209469,null,null,null
