TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,GPS_FIX,GPS_LAT,GPS_LONG,GPS_ALT,GPS_SPEED,GPS_HDOP,GPS_SATNUM,PM_1,PM_25,PM_10
2020-10-01 01:59:55+02:00,23.07,63.09,98.0,0.0,29.03,101.21,8.0,457.0,3.0,41.396826000000004,2.19427,86.02,,168.0,11.0,3.0,5.0,5.0
2020-10-01 02:00:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:25+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:00:55+02:00,23.07,63.13,98.0,0.0,27.57,101.2,8.0,454.0,3.0,41.39679,2.1943740000000003,76.98,,176.0,10.0,9.0,9.0,9.0
2020-10-01 02:01:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:25+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:01:55+02:00,23.04,63.12,98.0,0.0,24.23,101.2,9.0,462.0,3.0,41.396832,2.194327,86.43,,274.0,8.0,3.0,5.0,5.0
2020-10-01 02:02:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:25+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:02:55+02:00,23.05,63.13,98.0,0.0,30.13,101.2,8.0,457.0,3.0,41.396838,2.194324,87.42,,273.0,8.0,6.0,6.0,6.0
2020-10-01 02:03:00+02:00,,,,,,,,,,,,,,,,,,
